parameter,crop,site,code_value,unit,source,original_value,adjusted_value,adjustment_reason,calibration_data_range,validation_data_range,calibration_status
Maturity,WheatGDD,henan_north,2200,GDD,stock aquacrop-ospy WheatGDD defaults,2200,2200,none - GDD headroom clears the 06/15 cutoff in every year,1982-2025 full-irrigation,1982-2025 full-irrigation,literature/stock
Maturity,WheatGDD,hebei_central,1825,GDD,calibrate_wheat_maturity.py (audit P0-1 fix),2200,1825,worst-case harvest margin >=7 days before 06/15 in every 1982-2025 year,1982-2025 full-irrigation,1982-2025 full-irrigation + RL env daily-stepping path,calibrated
Senescence,WheatGDD,hebei_central,1327,GDD,scaled at stock ratio 1600/2200 with Maturity,1600,1327,keep senescence/maturity ratio of stock cultivar,1982-2025,1982-2025,calibrated (ratio-preserving)
HIstart,WheatGDD,hebei_central,995,GDD,scaled at stock ratio 1200/2200 with Maturity,1200,995,keep HIstart/maturity ratio of stock cultivar,1982-2025,1982-2025,calibrated (ratio-preserving)
Maturity,WheatGDD,shaanxi_guanzhong,1850,GDD,calibrate_wheat_maturity.py (audit P0-1 fix),2200,1850,worst-case harvest margin >=7 days before 06/15 in every year,1982-2025 full-irrigation,1982-2025 full-irrigation,calibrated
Senescence,WheatGDD,shaanxi_guanzhong,1345,GDD,scaled at stock ratio with Maturity,1600,1345,keep senescence/maturity ratio of stock cultivar,1982-2025,1982-2025,calibrated (ratio-preserving)
HIstart,WheatGDD,shaanxi_guanzhong,1009,GDD,scaled at stock ratio with Maturity,1200,1009,keep HIstart/maturity ratio of stock cultivar,1982-2025,1982-2025,calibrated (ratio-preserving)
Maturity,WheatGDD,beijing_plain,1600,GDD,calibrate_wheat_maturity.py (audit P0-1 fix),2000,1600,worst-case harvest margin >=7 days before 06/15 in every year (needed the biggest cut),1982-2025 full-irrigation,1982-2025 full-irrigation,calibrated
Senescence,WheatGDD,beijing_plain,1164,GDD,scaled at stock ratio with Maturity,1455,1164,keep senescence/maturity ratio of stock cultivar,1982-2025,1982-2025,calibrated (ratio-preserving)
HIstart,WheatGDD,beijing_plain,873,GDD,scaled at stock ratio with Maturity,1091,873,keep HIstart/maturity ratio of stock cultivar,1982-2025,1982-2025,calibrated (ratio-preserving)
MaturityCD,Maize,hebei_central/shaanxi_guanzhong/henan_north/beijing_plain,105,calendar days,"NCP short-season summer maize literature (~103-110 d, e.g. 郑单958 class) + audit-v2 P0-2 fix",132 (stock),105,stock 132-day cultivar never matured inside the 112-day window (0/20 measured); 105 fits with 7-day margin,1982-2025 full-irrigation,1982-2025 full-irrigation + RL env stepping,literature/scenario assumption (NOT site-calibrated)
SenescenceCD,Maize,double-crop sites,85,calendar days,scaled at stock ratio 107/132 x 105,107,85,keep senescence/maturity ratio of stock cultivar,1982-2025,1982-2025,literature/scenario assumption
HIstartCD,Maize,double-crop sites,53,calendar days,scaled at stock ratio 66/132 x 105,66,53,keep HIstart/maturity ratio of stock cultivar,1982-2025,1982-2025,literature/scenario assumption
MaxRootingCD,Maize,double-crop sites,86,calendar days,scaled at stock ratio 108/132 x 105,108,86,keep rooting/maturity ratio of stock cultivar,1982-2025,1982-2025,literature/scenario assumption
YldFormCD,Maize,double-crop sites,49,calendar days,scaled at stock ratio 61/132 x 105,61,49,keep yield-formation/maturity ratio of stock cultivar,1982-2025,1982-2025,literature/scenario assumption
EmergenceCD,Maize,double-crop sites,5,calendar days,scaled at stock ratio 6/132 x 105,6,5,keep emergence/maturity ratio of stock cultivar,1982-2025,1982-2025,literature/scenario assumption
MaturityCD,Maize,ningxia_irrigation,132,calendar days,stock aquacrop-ospy Maize defaults (validated against its own 04/25-09/30 window),132,132,"none - stock cultivar matures ~09/04, well inside the 09/30 window (26-day margin)",1982-2025 full-irrigation,1982-2025 full-irrigation,default validated
